Weights,,,
Text Size,286.473,11.381,1.000
Graphic Size,254.085,14.142,1.000
Min Text Size,4999.998,1.000,1.000
Min Graphic Size,4999.998,1.000,1.000
Whitespace,10.000,0.100,1.000
Spread,638.359,3.427,1.000
Text Out of Bounds,4999.998,10.000,1.000
Graphic Out of Bounds,4999.998,10.000,1.000
Text Overlap,4999.998,10.000,1.000
Graphic Overlap,0.000,10.000,1.000
Graphic Text Overlap,0.000,10.000,1.000
Text X Symmetry,25.578,3.000,1.000
Text Y Symmetry,12.179,3.000,1.000
Graphic X Symmetry,4.787,3.000,1.000
Graphic Y Symmetry,99.846,3.000,1.000
Align X-Left,173.877,0.100,1.000
Align X-Center,121.763,0.100,1.000
Align X-Right,9.278,0.100,1.000
Align Y-Bottom,51.282,3.914,1.000
Align Y-Center,40.816,2.842,1.000
Align Y-Top,91.787,3.922,1.000
Align Error X,502.325,0.780,1.000
Align Error Y,285.212,0.188,1.000
Align Group Sizes,0.000,1.000,1.000
Text Importance Pearson,231.691,3.786,1.000
Graphic Importance Pearson,0.000,1.000,1.000
Text X Position,48.368,0.155,1.000
Graphic X Position,38.563,0.100,1.000
Text Y Position,14.481,0.120,1.000
Graphic Y Position,13.474,0.100,1.000
Text X Position - Reverse,22.408,0.112,1.000
Graphic X Position - Reverse,86.851,0.100,1.000
Text Y Position - Reverse,39.436,0.110,1.000
Graphic Y Position - Reverse,96.298,0.100,1.000
Pairwise Distances Avg,0.000,10.000,1.000
Pairwise Distances Min,0.000,10.000,1.000
Text Margins Avg,10.000,0.100,1.000
Text Margins Min,158.472,50.000,1.000
Graphic Margins Avg,10.000,0.100,1.000
Graphic Margins Min,181.218,50.000,1.000
Text Size Variance,2.783,0.870,1.000
Text X Flow,2.231,1.299,1.000
Text Y Flow,94.969,0.863,1.000
Num Regions,0.000,0.100,1.000
Text Region X Symmetry,107.384,8.863,1.000
Graphic Region X Symmetry,136.887,11.318,1.000
Text X Reverse Symmetry,71.457,1.007,1.000
Text Y Reverse Symmetry,29.371,2.033,1.000
Graphic X Reverse Symmetry,40.486,0.998,1.000
Graphic Y Reverse Symmetry,27.108,1.000,1.000
Text X Position Variance,26.457,1.488,1.000
Graphic X Position Variance,11.106,1.382,1.000
Text Y Position Variance,103.966,0.496,1.000
Graphic Y Position Variance,16.628,1.161,1.000
Text Distances Avg,10.000,0.100,1.000
Element Region Difference,0.000,1.000,1.000
Empty Region,0.000,1.000,1.000
Region Overlap,0.000,10.000,1.000
Line Length,139.362,12.641,1.000
Element 0 Position Difference,0.000,3.000,0.000
Element 1 Position Difference,0.000,3.000,0.000
Element 2 Position Difference,0.000,3.000,0.000
Element 3 Position Difference,0.000,3.000,0.000
Element 4 Position Difference,0.000,3.000,0.000
Element 5 Position Difference,0.000,3.000,0.000
Element 6 Position Difference,0.000,3.000,0.000
Element 7 Position Difference,0.000,3.000,0.000
Element 8 Position Difference,0.000,3.000,0.000
Element 9 Position Difference,0.000,3.000,0.000
Element 10 Position Difference,0.000,3.000,0.000
Element 11 Position Difference,0.000,3.000,0.000
Element 12 Position Difference,0.000,3.000,0.000
Element 13 Position Difference,0.000,3.000,0.000
Element 14 Position Difference,0.000,3.000,0.000
Element 0 Height Difference,0.000,3.000,0.000
Element 1 Height Difference,0.000,3.000,0.000
Element 2 Height Difference,0.000,3.000,0.000
Element 3 Height Difference,0.000,3.000,0.000
Element 4 Height Difference,0.000,3.000,0.000
Element 5 Height Difference,0.000,3.000,0.000
Element 6 Height Difference,0.000,3.000,0.000
Element 7 Height Difference,0.000,3.000,0.000
Element 8 Height Difference,0.000,3.000,0.000
Element 9 Height Difference,0.000,3.000,0.000
Element 10 Height Difference,0.000,3.000,0.000
Element 11 Height Difference,0.000,3.000,0.000
Element 12 Height Difference,0.000,3.000,0.000
Element 13 Height Difference,0.000,3.000,0.000
Element 14 Height Difference,0.000,3.000,0.000
Graphic Size Variance,127.565,3.552,1.000
Text Diag Flow,88.237,4.989,1.000
Group Distance,400.000,1458113.524,1.000
No Overlap Regions,3000.000,10.000,1.000
Text Size Reverse,41.487,1.433,1.000
Graphic Size Reverse,18.566,0.963,1.000
Whitespace Reverse,10.000,1458113.524,1.000
Group Alignment,100.000,0.100,1.000
Group Text Size Variance,100.000,7290567.128,1.000
Group Graphic Size Variance,100.000,7290567.128,1.000
Group Graphic X Align Variance,25.000,7290567.128,1.000
Group Graphic Y Align Variance,25.000,7290567.128,1.000
Hidden Element,1500.000,1.000,1.000
Alignment Lines,0.000,1.000,1.000
Size Constraints,0.000,20.000,0.000
Alignment Constraints,0.000,20.000,0.000
Relative Difference,0.000,5.000,0.000
