Weights,,,
Text Size,309.439,3.946,1.000
Graphic Size,831.696,4.993,1.000
Min Text Size,4999.998,1.000,1.000
Min Graphic Size,4999.998,1.000,1.000
Whitespace,10.000,10409357.278,1.000
Spread,862.318,3.214,1.000
Text Out of Bounds,4999.998,10.000,1.000
Graphic Out of Bounds,4999.998,10.000,1.000
Text Overlap,4999.998,10.000,1.000
Graphic Overlap,0.000,10.000,1.000
Graphic Text Overlap,0.000,10.000,1.000
Text X Symmetry,50.987,3.000,1.000
Text Y Symmetry,14.413,3.000,1.000
Graphic X Symmetry,104.859,3.000,1.000
Graphic Y Symmetry,30.412,3.000,1.000
Align X-Left,267.039,0.100,1.000
Align X-Center,279.222,0.100,1.000
Align X-Right,9.823,0.100,1.000
Align Y-Bottom,16.453,1.448,1.000
Align Y-Center,15.222,1.320,1.000
Align Y-Top,93.245,1.516,1.000
Align Error X,443.816,0.735,1.000
Align Error Y,419.763,0.744,1.000
Align Group Sizes,0.000,1.000,1.000
Text Importance Pearson,251.363,1.616,1.000
Graphic Importance Pearson,0.000,1.000,1.000
Text X Position,34.852,0.108,1.000
Graphic X Position,32.468,0.101,1.000
Text Y Position,53.676,0.105,1.000
Graphic Y Position,21.190,0.100,1.000
Text X Position - Reverse,27.383,0.102,1.000
Graphic X Position - Reverse,41.679,0.100,1.000
Text Y Position - Reverse,21.400,0.100,1.000
Graphic Y Position - Reverse,56.499,0.100,1.000
Pairwise Distances Avg,197.612,10.000,1.000
Pairwise Distances Min,183.898,10.000,1.000
Text Margins Avg,10.000,10409357.278,1.000
Text Margins Min,233.440,50.000,1.000
Graphic Margins Avg,10.000,10409357.278,1.000
Graphic Margins Min,233.104,50.000,1.000
Text Size Variance,8.240,0.970,1.000
Text X Flow,15.742,0.918,1.000
Text Y Flow,100.750,0.937,1.000
Num Regions,0.000,0.100,1.000
Text Region X Symmetry,165.274,4.137,1.000
Graphic Region X Symmetry,162.111,3.611,1.000
Text X Reverse Symmetry,28.464,1.287,1.000
Text Y Reverse Symmetry,27.966,1.059,1.000
Graphic X Reverse Symmetry,14.480,1.033,1.000
Graphic Y Reverse Symmetry,24.066,1.051,1.000
Text X Position Variance,15.173,1.075,1.000
Graphic X Position Variance,19.818,0.863,1.000
Text Y Position Variance,44.794,0.901,1.000
Graphic Y Position Variance,15.118,1.095,1.000
Text Distances Avg,10.000,9915684.500,1.000
Element Region Difference,0.000,1.000,1.000
Empty Region,0.000,1.000,1.000
Region Overlap,0.000,10.000,1.000
Line Length,163.771,11.517,1.000
Element 0 Position Difference,0.000,3.000,0.000
Element 1 Position Difference,0.000,3.000,0.000
Element 2 Position Difference,0.000,3.000,0.000
Element 3 Position Difference,0.000,3.000,0.000
Element 4 Position Difference,0.000,3.000,0.000
Element 5 Position Difference,0.000,3.000,0.000
Element 6 Position Difference,0.000,3.000,0.000
Element 7 Position Difference,0.000,3.000,0.000
Element 8 Position Difference,0.000,3.000,0.000
Element 9 Position Difference,0.000,3.000,0.000
Element 10 Position Difference,0.000,3.000,0.000
Element 11 Position Difference,0.000,3.000,0.000
Element 12 Position Difference,0.000,3.000,0.000
Element 13 Position Difference,0.000,3.000,0.000
Element 14 Position Difference,0.000,3.000,0.000
Element 0 Height Difference,0.000,3.000,0.000
Element 1 Height Difference,0.000,3.000,0.000
Element 2 Height Difference,0.000,3.000,0.000
Element 3 Height Difference,0.000,3.000,0.000
Element 4 Height Difference,0.000,3.000,0.000
Element 5 Height Difference,0.000,3.000,0.000
Element 6 Height Difference,0.000,3.000,0.000
Element 7 Height Difference,0.000,3.000,0.000
Element 8 Height Difference,0.000,3.000,0.000
Element 9 Height Difference,0.000,3.000,0.000
Element 10 Height Difference,0.000,3.000,0.000
Element 11 Height Difference,0.000,3.000,0.000
Element 12 Height Difference,0.000,3.000,0.000
Element 13 Height Difference,0.000,3.000,0.000
Element 14 Height Difference,0.000,3.000,0.000
Graphic Size Variance,145.115,4.710,1.000
Text Diag Flow,94.745,4.995,1.000
Group Distance,400.000,493673.778,1.000
No Overlap Regions,3000.000,10.000,1.000
Text Size Reverse,18.303,1.146,1.000
Graphic Size Reverse,8.850,0.955,1.000
Whitespace Reverse,10.000,493673.778,1.000
Group Alignment,100.000,0.100,1.000
Group Text Size Variance,100.000,2468368.722,1.000
Group Graphic Size Variance,100.000,2468368.722,1.000
Group Graphic X Align Variance,25.000,2468368.722,1.000
Group Graphic Y Align Variance,25.000,2468368.722,1.000
Hidden Element,1500.000,1.000,1.000
Alignment Lines,0.000,1.000,1.000
Size Constraints,0.000,20.000,0.000
Alignment Constraints,0.000,20.000,0.000
Relative Difference,0.000,5.000,0.000
